what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1416057907887
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1416057907887
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1416057907887
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1416057907887
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1416057907887
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1416057907887
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1416057907887
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1416057907887
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1416057907887
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1416057907903
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1416057907903
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1416057907903
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1416057907903
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1416057907919
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1416057907919
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1416057907919
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1416057907919
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1416057907919
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1416057907919
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1416057907919
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1416057907934
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1416057907934
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1416057907934
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1416057907934
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1416057907934
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1416057907934
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1416057907934
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1416057907950
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1416057907950
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416057907950
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1416057907965
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416057907965
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1416057907965
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1416057907981
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1416057907981
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1416057907997
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1416057907997
os,sysinfo,,,"win32",1416057907997
arch,sysinfo,,,"x86",1416057907997
ws,sysinfo,,,"win32",1416057907997
locale,sysinfo,,,"en_IN",1416057907997
processors,sysinfo,,,"4",1416057907997
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416057907997
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1416057907997
java.specification.name,sysinfo,,,"Java Platform API Specification",1416057907997
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416057907997
java.specification.version,sysinfo,,,"1.6",1416057907997
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1416057907997
java.version,sysinfo,,,"1.6.0_23",1416057907997
java.vm.info,sysinfo,,,"mixed mode",1416057907997
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416057907997
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416057907997
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416057907997
java.vm.specification.version,sysinfo,,,"1.0",1416057907997
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1416057907997
java.vm.version,sysinfo,,,"19.0-b09",1416057907997
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1416057910571
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1416057911257
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1416057911429
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1416057911475
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1416057913061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416057913420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416057918256
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416057918271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1416057918271
started,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1416057923128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416057928541
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416058006712
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1416058007243
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1416058007336
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1416058007336
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1416058007352
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1416058017935
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1416058018107
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1416058019776
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1416058025124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058027266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058034941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058086180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058095280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058149464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058149542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058151695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058152771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058152912
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1416058159027
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1416058159058
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1416058162615
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1416058162615
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1416058165256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058165631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058175297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058182134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416058187204
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1416058189045
